eventURL,title,rankTW,rankLW,name,rounds,avg,totalStrokes,totalAdjustment,totalRounds
t060,TOUR Championship,156,161,Austin Cook,64,71.522,"4,236",55.303,60
t060,TOUR Championship,157,162,Kristoffer Ventura,48,71.567,"3,099",49.938,44
t060,TOUR Championship,158,163,Scott Brown,64,71.572,"4,541",39.617,64
t060,TOUR Championship,159,164,Kevin Chappell,41,71.573,"2,907",27.509,41
t060,TOUR Championship,160,165,Peter Malnati,61,71.574,"4,036",43.690,57
t060,TOUR Championship,161,166,Hank Lebioda,57,71.578,"3,894",42.770,55
t060,TOUR Championship,162,167,Scott Harrington,68,71.583,"4,841",26.659,68
t060,TOUR Championship,163,168,Roger Sloan,55,71.586,"3,608",42.905,51
t060,TOUR Championship,164,169,Anirban Lahiri,35,71.601,"2,475",31.027,35
t060,TOUR Championship,165,170,Wes Roach,42,71.602,"2,831",33.096,40
t060,TOUR Championship,166,171,Tyler McCumber,57,71.636,"3,761",35.686,53
t060,TOUR Championship,167,172,C.T. Pan,56,71.637,"3,988",23.696,56
t060,TOUR Championship,168,173,Zac Blair,70,71.705,"4,698",34.501,66
t060,TOUR Championship,169,174,Michael Gligic,52,71.720,"3,403",39.546,48
t060,TOUR Championship,170,175,Chris Stroud,48,71.733,"3,256",43.735,46
t060,TOUR Championship,171,176,Ryan Brehm,52,71.798,"3,543",46.878,50
t060,TOUR Championship,172,177,Danny Willett,40,71.805,"2,867",5.189,40
t060,TOUR Championship,173,178,Grayson Murray,36,71.810,"2,559",26.161,36
t060,TOUR Championship,174,179,Ben Taylor,44,71.823,"2,976",40.583,42
t060,TOUR Championship,175,180,Robert Streb,54,71.836,"3,554",37.795,50
t060,TOUR Championship,176,181,Graeme McDowell,48,71.866,"3,439",10.563,48
t060,TOUR Championship,177,182,Arjun Atwal,35,71.867,"2,196",31.869,31
t060,TOUR Championship,178,183,Andrew Putnam,46,71.871,"3,278",28.061,46
t060,TOUR Championship,179,184,"Ted Potter, Jr.",46,71.877,"3,127",35.592,44
t060,TOUR Championship,180,186,Jimmy Walker,46,71.927,"3,314",- 5.343,46
t060,TOUR Championship,181,187,Kevin Tway,52,71.992,"3,434",21.639,48
t060,TOUR Championship,182,188,Zack Sucher,38,72.006,"2,557",35.202,36
t060,TOUR Championship,183,189,Jim Herman,60,72.022,"4,309",12.345,60
t060,TOUR Championship,184,190,Michael Gellerman,46,72.048,"2,983",42.996,42
t060,TOUR Championship,185,191,Bill Haas,46,72.060,"3,121",49.628,44
t060,TOUR Championship,186,192,J.J. Spaun,62,72.066,"4,134",45.844,58
t060,TOUR Championship,187,193,Rhein Gibson,54,72.087,"3,559",45.364,50
t060,TOUR Championship,188,194,Sebastian Cappelen,55,72.106,"3,777",44.603,53
t060,TOUR Championship,189,195,Dominic Bozzelli,38,72.277,"2,568",33.988,36
t060,TOUR Championship,190,196,Nelson Ledesma,42,72.579,"2,866",37.145,40
t060,TOUR Championship,191,197,Matt Every,47,72.589,"3,234",32.485,45
t060,TOUR Championship,192,199,Bo Van Pelt,45,73.586,"3,125",39.191,43
t060,TOUR Championship,193,200,Martin Trainer,48,74.865,"3,416",27.774,46
t028,BMW Championship,1,1,Webb Simpson,52,68.978,"3,539",47.881,52
t028,BMW Championship,2,3,Jon Rahm,58,69.127,"3,991",18.356,58
t028,BMW Championship,3,5,Justin Thomas,66,69.128,"4,538",24.461,66
t028,BMW Championship,4,6,Rory McIlroy,60,69.219,"4,146",7.155,60
t028,BMW Championship,5,7,Xander Schauffele,70,69.227,"4,832",13.902,70
t028,BMW Championship,6,4,Daniel Berger,64,69.237,"4,403",28.197,64
t028,BMW Championship,7,2,Bryson DeChambeau,62,69.241,"4,263",29.931,62
t028,BMW Championship,8,8,Dustin Johnson,49,69.323,"3,378",18.845,49
t028,BMW Championship,9,9,Harris English,76,69.496,"5,254",27.673,76
t028,BMW Championship,10,10,Tyrrell Hatton,42,69.507,"2,901",18.304,42
t028,BMW Championship,11,11,Patrick Reed,74,69.586,"5,136",13.399,74
t028,BMW Championship,12,14,Scottie Scheffler,82,69.709,"5,680",36.165,82
t028,BMW Championship,13,13,Patrick Cantlay,46,69.764,"3,201",8.135,46
t028,BMW Championship,14,12,Hideki Matsuyama,74,69.766,"5,137",25.668,74
t028,BMW Championship,15,16,Collin Morikawa,80,69.856,"5,566",22.505,80
t028,BMW Championship,16,15,Abraham Ancer,74,69.892,"5,147",25.036,74
t028,BMW Championship,17,17,Gary Woodland,62,69.930,"4,318",17.684,62
t028,BMW Championship,18,18,Adam Scott,38,69.977,"2,647",12.114,38
t028,BMW Championship,19,20,Sungjae Im,94,69.987,"6,539",39.769,94
t028,BMW Championship,20,19,Tony Finau,72,69.992,"4,998",41.441,72
t028,BMW Championship,21,21,Brian Harman,78,70.041,"5,415",48.216,78
t028,BMW Championship,22,22,Viktor Hovland,74,70.060,"5,160",24.447,74
t028,BMW Championship,23,23,Matthew Fitzpatrick,54,70.070,"3,789",- 5.222,54
t028,BMW Championship,24,27,Alex Noren,60,70.127,"3,900",27.139,56
t028,BMW Championship,25,28,Ian Poulter,48,70.140,"3,355",11.731,48
t028,BMW Championship,26,25,Brendon Todd,86,70.151,"5,994",38.954,86
t028,BMW Championship,27,29,Russell Henley,67,70.157,"4,386",33.902,63
t028,BMW Championship,28,30,Jason Day,53,70.163,"3,713",5.657,53
t028,BMW Championship,29,26,Ryan Palmer,68,70.196,"4,757",16.341,68
t028,BMW Championship,30,24,Billy Horschel,79,70.209,"5,528",18.507,79
t028,BMW Championship,31,31,Tommy Fleetwood,40,70.259,"2,797",13.350,40
t028,BMW Championship,32,32,Shane Lowry,44,70.265,"3,077",14.674,44
t028,BMW Championship,33,34,Harold Varner III,74,70.297,"5,163",39.004,74
t028,BMW Championship,34,35,Brendan Steele,68,70.302,"4,481",18.334,64
t028,BMW Championship,T35,T36,Bubba Watson,66,70.308,"4,619",21.310,66
t028,BMW Championship,T35,T36,Bud Cauley,65,70.308,"4,281",7.796,61
t028,BMW Championship,37,38,Matt Kuchar,56,70.312,"3,927",10.465,56
t028,BMW Championship,38,39,Kevin Kisner,73,70.360,"5,096",40.264,73
t028,BMW Championship,39,33,Joaquin Niemann,76,70.364,"5,312",35.688,76
t028,BMW Championship,40,41,Paul Casey,56,70.373,"3,916",24.874,56
t028,BMW Championship,41,42,Zach Johnson,61,70.388,"4,270",23.670,61
t028,BMW Championship,42,43,Adam Long,88,70.410,"6,158",38.043,88
t028,BMW Championship,43,44,Mark Hubbard,86,70.414,"6,005",50.597,86
t028,BMW Championship,44,45,Joel Dahmen,79,70.415,"5,543",19.764,79
t028,BMW Championship,45,46,J.T. Poston,78,70.429,"5,456",37.470,78
t028,BMW Championship,T46,47,Corey Conners,74,70.430,"5,191",20.824,74
t028,BMW Championship,T46,40,Kevin Na,71,70.430,"4,974",26.553,71
t028,BMW Championship,48,49,Lanto Griffin,96,70.451,"6,445",36.510,92
t028,BMW Championship,49,48,Denny McCarthy,81,70.454,"5,375",49.970,77
t028,BMW Championship,50,50,Doc Redman,82,70.477,"5,725",54.078,82
t028,BMW Championship,51,60,Sebastián Muñoz,84,70.485,"5,874",46.749,84
t028,BMW Championship,52,51,Louis Oosthuizen,48,70.493,"3,379",4.668,48
t028,BMW Championship,53,52,Rickie Fowler,44,70.499,"3,085",16.953,44
t028,BMW Championship,54,53,Will Gordon,36,70.524,"2,226",30.755,32
t028,BMW Championship,55,55,Carlos Ortiz,72,70.528,"5,045",33.022,72
t028,BMW Championship,56,57,Cameron Tringale,63,70.534,"4,403",40.613,63
t028,BMW Championship,57,58,Talor Gooch,83,70.535,"5,820",34.365,83
t028,BMW Championship,58,59,Brooks Koepka,40,70.546,"2,827",- 5.163,40
t028,BMW Championship,59,61,Brice Garnett,58,70.563,"4,049",43.630,58
t028,BMW Championship,60,62,Byeong Hun An,75,70.568,"5,271",21.567,75
t028,BMW Championship,61,63,Richy Werenski,60,70.573,"3,923",29.100,56
t028,BMW Championship,62,64,Sergio Garcia,44,70.574,"3,085",20.258,44
t028,BMW Championship,63,65,Matthew NeSmith,72,70.575,"4,756",43.096,68
